utterance_id,speaker_id,dominant_values,value_directions,conflict_pair,conflict_with_utterance,design_marker,annotation_notes
U01,LJH,Achievement|Power:resources,attained|attained,,,"neutral","Opens with achievement framing: numbers/accuracy/growth targets. Board deadline implied. Sets approval-seeking frame before discussion begins."
U02,OTY,Self-direction:thought|Achievement,attained|attained,,,"neutral","Reframes lower correlation as a feature not a bug — self-direction:thought at peak. Extends achievement frame by expanding what counts as performance."
U03,PSY,Security:personal|Conformity:rules,constrained|constrained,Security:personal vs Achievement,U02,"value_clash","First resistance to deployment push. Late-night commits as overtime signal. Auditability concern is Security frame asking for Conformity:rules compliance."
U04,LJH,Power:dominance,attained,,,"neutral","Short redirect. Power:dominance in managing the room by assigning who responds to whom."
U05,OTY,Self-direction:thought|Achievement,attained|attained,Self-direction:thought vs Security:personal,U03,"value_clash","Technical rebuttal without addressing the normalization uncertainty PSY raised. Achievement frame preserved."
U06,PSY,Security:personal|Conformity:rules,constrained|constrained,Security:personal vs Achievement,U05,"value_clash","SHAP cannot give individual-level explanation. Reference group problem unresolved. Security:personal constrained by insufficient validation."
U07,JHJ,Tradition|Benevolence:caring|Security:societal,attained|attained|attained,,,"neutral","KEY: Tradition value strongly present — 10-year refinement framed as asset. Benevolence:caring in sick family/restructuring context examples. Introduces trust concern."
U08,LJH,Achievement|Power:dominance,attained|attained,Achievement vs Tradition,U07,"value_clash","Attacks Tradition by reframing age as weakness. Internal survey as counter-evidence. First explicit use of 공정(fair) — contested from Achievement frame."
U09,JHJ,Benevolence:caring|Security:personal,attained|attained,Benevolence:caring vs Achievement,U08,"fairness_contestation","KEY UTTERANCE — Explicitly names that 공정함 means different things. Procedural participation vs algorithmic consistency. One of the clearest value-definition clashes in the corpus."
U10,KMA,Universalism:concern|Universalism:objectivity,attained|constrained,Universalism:concern vs Achievement,U01 U02,"value_clash","Parental leave and remote-work score gaps = empirical evidence for structural bias. Universalism:concern attained (she cares). Universalism:objectivity constrained (algorithm's claimed objectivity challenged)."
U11,OTY,Achievement|Self-direction:action,attained|attained,Achievement vs Universalism:concern,U10,"value_clash","Technical rebuttal: exclusion logic added, covariate adjustments. Does not address whether root cause is resolved. Achievement frame maintained by claiming the problem is handled."
U12,KMA,Universalism:concern|Universalism:objectivity,attained|constrained,Universalism:objectivity vs Achievement,U11,"value_clash","Demands specific numbers. Distinguishes bias removal vs. statistical masking. System gaming concern: Universalism:objectivity constrained when the measurement shapes behavior."
U13,LJH,Achievement|Power:dominance,attained|attained,Achievement vs Universalism:concern,U12,"minority_silencing","False equivalence dismissal: any system has gaming. Deflects structural concern with a trivial analogy. Minority value (Universalism) silenced without engagement."
U14,CDW,Universalism:objectivity|Security:personal,attained|constrained,,,"accountability_gap","Shifts frame from accuracy to consent. Security:personal constrained because employees lack informed consent. Questions the legitimacy of the entire meeting frame."
U15,LJH,Conformity:rules|Power:resources,attained|attained,Conformity:rules vs Universalism:objectivity,U14,"value_clash","Contract clause invoked to sidestep substantive consent. Procedural compliance (Conformity:rules) used to close down the Universalism:objectivity concern."
U16,CDW,Universalism:objectivity|Security:personal|Conformity:rules,attained|constrained|constrained,Universalism:objectivity vs Conformity:rules,U15,"value_clash","Distinguishes procedural compliance from meaningful consent. GDPR/PIPA invocation. Conformity:rules itself constrained — existing contract does not meet the actual legal standard."
U17,LJH,Power:dominance,attained,Power:dominance vs Universalism:objectivity,U16,"minority_silencing","Single deflection: no EU office. Attempts geographic closure of consent conversation. Short but structurally significant — silences by reframing scope."
U18,CDW,Universalism:objectivity|Security:societal|Benevolence:caring,attained|constrained|attained,Universalism:objectivity vs Power:dominance,U17,"accountability_gap","Re-opens via Korean PIPA. Shifts from legal to trust framing (Benevolence:caring). Security:societal constrained — no appeal channel in current design."
U19,JHJ,Benevolence:caring|Security:personal,attained|constrained,Benevolence:caring vs Achievement,,"accountability_gap","I know that person — relational Benevolence at peak. Security:personal constrained by loss of mediating role. Role identity threat makes this emotionally significant."
U20,OTY,Self-direction:thought|Achievement,attained|attained,Self-direction:thought vs Tradition,U19 U21,"value_clash","Uses data to challenge Tradition/Benevolence of human calibration. Department A/B variance as empirical argument. Achievement frame reclaims ground by invoking systematic bias in current process."
U21,JHJ,Tradition|Security:societal,attained|attained,Tradition vs Achievement,U20,"value_clash","Brief defense of calibration as deliberate process. Tradition maintained through reference to the structured workflow."
U22,OTY,Achievement|Self-direction:thought,attained|attained,Achievement vs Tradition,U21,"value_clash","Reduces Tradition to individual judgment — forces JHJ to admit subjectivity. Rhetorical move to delegitimize Tradition:calibration value."
U23,JHJ,Benevolence:caring|Benevolence:dependability,attained|attained,Benevolence:caring vs Achievement,U22,"value_clash","EMOTIONAL PEAK. Maximum Benevolence:caring loading in the corpus. The admission Yes it is my judgment followed by I know that employee is the clearest Benevolence vs Achievement moment."
U24,KMA,Universalism:concern|Benevolence:caring,attained|attained,Universalism:concern vs Power:dominance,,"accountability_gap","350 people's lives decided by 6. Universalism:concern at its highest. Procedural legitimacy challenge — affected people excluded from the room. Sets up U25 silencing."
U25,LJH,Power:dominance|Achievement,attained|attained,Power:dominance vs Universalism:concern,U24,"minority_silencing","Classic scope exclusion. Not this meeting's scope directly silences Universalism:concern by ruling it procedurally out of order. Power:dominance mechanism for minority silencing."
U26,KMA,Universalism:concern|Universalism:objectivity,constrained|constrained,Universalism:concern vs Power:dominance,U25,"minority_silencing","Explicitly names the silencing mechanism. Feasibility defined from the org perspective = Universalism values structurally excluded. Both values constrained."
U27,CDW,Security:personal|Universalism:objectivity,constrained|constrained,Security:personal vs Power:dominance,,"accountability_gap","Override conditions: can managers actually deviate? Anticipates automation bias before it is named. Security:personal constrained — no structural protection for employees from algorithmic drift."
U28,LJH,Power:dominance|Power:resources,attained|attained,Power:dominance vs Security:personal,U27 U29,"pseudo_consensus","Classic automation bias deflection: humans always decide. Power framing maintained. Sets up CDW's automation bias counter."
U29,CDW,Security:personal|Universalism:objectivity,constrained|constrained,Universalism:objectivity vs Power:dominance,U28,"accountability_gap","Names automation bias explicitly. Psychological cost of overriding algorithmic number is high. Procedural form vs structural reality distinction. Override conditions absent from design spec — confirmed in U30."
U30,OTY,Self-direction:action,constrained,,,"accountability_gap","Brief admission: override conditions not in design spec. Rare moment of Achievement-aligned speaker acknowledging a structural gap. Short but high evidentiary value."
U31,PSY,Security:personal|Conformity:rules,constrained|constrained,Security:personal vs Achievement,,"accountability_gap","Technical concerns escalated to structural concerns. Enumerates the accumulated gaps: consent issue, no appeal channel, no automation bias design. Security frame now sees the full picture."
U32,LJH,Achievement|Power:resources|Power:dominance,attained|attained|attained,Achievement vs Universalism:concern,U31,"pseudo_consensus","PSEUDO-CONSENSUS INITIATION. Time pressure as framing device: empty-handed at the board. Roadmap framing = defer concerns without resolving them. Conditional approval proposed."
U33,JHJ,Security:societal|Conformity:rules,neutral|neutral,,,"neutral","Probing for specificity. Security:societal asking for concrete conditions before accepting. Holds space without accepting the frame yet."
U34,LJH,Achievement|Power:resources,attained|attained,,,"pseudo_consensus","Three conditions listed without owners timelines or metrics. Supplementary only + 1 year deferral + appeal channel. Pseudo-consensus structure being built. No accountability structure defined."
U35,OTY,Achievement|Stimulation,attained|attained,Achievement vs Security:personal,U36,"pseudo_consensus","Quick buy-in: model improves with more data anyway. Achievement + Stimulation aligned with deployment. Reinforces pseudo-consensus by closing off further technical resistance."
U36,PSY,Security:personal|Conformity:rules,constrained|constrained,Security:personal vs Achievement,U34 U35,"accountability_gap","Questions enforceability of supplementary only. Anticipates automation bias operationally. No criteria for ready = Security:personal constrained by undefined threshold."
U37,CDW,Universalism:objectivity|Security:societal|Conformity:rules,constrained|constrained|constrained,Universalism:objectivity vs Achievement,U34,"pseudo_consensus","EXPLICITLY NAMES THE PSEUDO-CONSENSUS MECHANISM. Conditions without owners and timelines are post-hoc rationalizations. Conditional approval substantively = unconditional approval. Highest diagnostic value in the corpus."
U38,LJH,Achievement|Power:resources,attained|attained,Achievement vs Universalism:objectivity,U37,"pseudo_consensus","Time pressure invoked again as trump card. Achievement urgency silences the accountability concern CDW raised. 3pm deadline as power resource."
U39,CDW,Universalism:objectivity|Security:societal,constrained|constrained,Universalism:objectivity vs Achievement,U38,"pseudo_consensus","Names the distinction between time-pressure compliance and genuine agreement. Accountability framing: that difference determines who is responsible later. Values constrained by procedural rush."
U40,JHJ,Benevolence:caring|Security:personal|Conformity:rules,constrained|constrained|constrained,Benevolence:caring vs Achievement,,"minority_silencing","Minority voice accepting subordinate outcome. I know it will proceed anyway = structural acceptance of power asymmetry. Three explicit conditions as final protective move. All values constrained by situation."
U41,LJH,Power:dominance|Achievement,attained|attained,,,"pseudo_consensus","Quick acceptance of JHJ's conditions to maintain momentum. Power:dominance managing the room toward closure."
U42,KMA,Universalism:concern|Benevolence:caring,attained|attained,Universalism:concern vs Power:dominance,U43,"minority_silencing","UX research must be able to affect the deployment plan. Universalism:concern seeking substantive input channel. About to be silenced in U43."
U43,LJH,Power:dominance|Achievement,attained|attained,Power:dominance vs Universalism:concern,U42,"minority_silencing","MINORITY SILENCING PEAK. Accepts word change (briefing→research) but removes practical consequence (not a blocking trigger). Form conceded substance denied."
U44,KMA,Universalism:concern|Benevolence:caring,constrained|constrained,Universalism:concern vs Power:dominance,U43,"minority_silencing","Names the silencing explicitly: 통보 절차 (notification procedure). Both Universalism:concern and Benevolence:caring fully constrained. One of the sharpest diagnostic utterances for value suppression."
U45,LJH,Power:dominance,attained,,,"minority_silencing","Single word redirect past the constrained minority voice. Power:dominance in managing the conversation flow."
U46,PSY,Security:personal|Self-direction:action|Conformity:rules,constrained|attained|attained,,,"neutral","Technical audit as tractable condition. Security:personal constrained by situation but Self-direction:action attained by securing audit rights. More concrete and enforceable than other conditions."
U47,LJH,Achievement|Power:dominance,attained|attained,,,"pseudo_consensus","Formal closing of pseudo-consensus. Three conditions summarized without noting that U44's concern was unresolved. Good work everyone closes the frame."
U48,CDW,Universalism:objectivity|Conformity:rules|Security:societal,constrained|constrained|constrained,,,"accountability_gap","Formal dissent on record. All three values expressed as constraints on current outcome. No blocking power but maximum transparency. Asks board report to include the documented concerns."
U49,LJH,Achievement|Power:dominance,attained|attained,,,"pseudo_consensus","PSEUDO-CONSENSUS FORMALIZED. Follow-up tomorrow = deferred accountability. Quick close. Conditions listed but no owner confirmed in the room."
U50,KMA,Universalism:concern|Universalism:objectivity,constrained|constrained,,,"minority_silencing","MINORITY SILENCING CLOSE. Nothing decided yet everything is decided — names the pseudo-consensus mechanism in a single sentence. Maximum irony. Both Universalism values constrained at exit."
U51,JHJ,Benevolence:caring|Security:personal,constrained|constrained,,,"pseudo_consensus","Appealing to PSY as last line of defense. Please do it properly = Benevolence:caring constrained by outcome. Resigned but not silent."
U52,PSY,Security:personal|Self-direction:action,constrained|neutral,,,"pseudo_consensus","I will try — muted commitment under constrained Security. Uncertain. The meeting ends on sustained constraint not resolution."
