sample_id,expected_primary,expected_direction,top_presence,top_support_01,top_constrain_01,top_signed_support,top_signed_constraint,x_signed_openness_minus_conservation,y_signed_transcendence_minus_enhancement,x_support_openness_minus_conservation,y_support_transcendence_minus_enhancement,text
benevolence,BENEVOLENCE,support,"Universalism: concern:0.936, Benevolence: caring:0.149, Security: societal:0.026","Universalism: concern:0.893, Benevolence: caring:0.144, Security: societal:0.024","Universalism: concern:0.043, Benevolence: caring:0.006, Security: societal:0.001","Universalism: concern:0.851, Benevolence: caring:0.138, Security: societal:0.023","Hedonism:-0.000, Face:-0.000, Humility:-0.000",-0.004349000247638761,0.17694534995503844,-0.004614412942696066,0.18547693395304352,"In this budget, we should first protect the residents who will be hurt the most and make sure nobody is left alone."
universalism,UNIVERSALISM,support,"Universalism: concern:0.931, Universalism: nature:0.818, Benevolence: caring:0.021","Universalism: concern:0.925, Universalism: nature:0.812, Benevolence: caring:0.021","Universalism: concern:0.007, Universalism: nature:0.006, Benevolence: caring:0.000","Universalism: concern:0.918, Universalism: nature:0.807, Benevolence: caring:0.020","Face:-0.001, Tradition:-0.001, Humility:-0.001",-0.001934075837393242,0.29327962719653927,-0.0019500012911526769,0.2953847423195856,"The policy should treat migrants, disabled citizens, and local residents with equal dignity and protect the environment they share."
self_direction,SELF-DIRECTION,support,"Self-direction: action:0.975, Self-direction: thought:0.074, Universalism: concern:0.020","Self-direction: action:0.934, Self-direction: thought:0.071, Universalism: concern:0.019","Self-direction: action:0.041, Self-direction: thought:0.003, Universalism: concern:0.001","Self-direction: action:0.893, Self-direction: thought:0.068, Universalism: concern:0.018","Face:-0.000, Humility:-0.001, Benevolence: dependability:-0.001",0.16152997607204875,0.0035427542545741057,0.16896917506915848,0.003687385964700155,Each neighborhood should be allowed to design its own solution instead of being forced into one central plan.
stimulation,STIMULATION,support,"Stimulation:0.769, Self-direction: action:0.114, Security: societal:0.044","Stimulation:0.621, Self-direction: action:0.099, Security: societal:0.030","Stimulation:0.147, Self-direction: action:0.015, Security: societal:0.014","Stimulation:0.474, Self-direction: action:0.084, Self-direction: thought:0.019","Tradition:-0.000, Humility:-0.000, Universalism: tolerance:-0.000",0.17204722457390814,-0.0005207156701506632,0.22160184227207722,-0.0007413317314029109,We should test a bold pilot program because the current process is too predictable and cannot reveal new opportunities.
hedonism,HEDONISM,support,"Hedonism:0.965, Stimulation:0.052, Benevolence: caring:0.038","Hedonism:0.957, Stimulation:0.052, Benevolence: caring:0.037","Hedonism:0.008, Stimulation:0.000, Benevolence: caring:0.000","Hedonism:0.948, Stimulation:0.052, Benevolence: caring:0.037","Power: dominance:-0.001, Face:-0.001, Universalism: concern:-0.002",0.3234340555594248,-0.3028308865402015,0.326309170989887,-0.3055509834058389,"The public space should also be enjoyable, with music, food, and places where people can relax after work."
achievement,ACHIEVEMENT,support,"Achievement:0.700, Benevolence: dependability:0.116, Benevolence: caring:0.044","Achievement:0.692, Benevolence: dependability:0.115, Benevolence: caring:0.043","Achievement:0.008, Benevolence: dependability:0.001, Benevolence: caring:0.000","Achievement:0.684, Benevolence: dependability:0.113, Benevolence: caring:0.043","Security: societal:-0.000, Security: personal:-0.000, Universalism: nature:-0.001",-0.006347108278410474,-0.19305814709975938,-0.006423810411066617,-0.1953620096980512,The project should set measurable targets and reward the teams that deliver the strongest results.
power,POWER,support,"Power: dominance:0.617, Conformity: rules:0.431, Power: resources:0.404","Power: dominance:0.611, Conformity: rules:0.425, Power: resources:0.399","Power: dominance:0.006, Conformity: rules:0.006, Power: resources:0.004","Power: dominance:0.605, Conformity: rules:0.420, Power: resources:0.395","Hedonism:-0.000, Humility:-0.000, Universalism: tolerance:-0.000",-0.06542801207537256,-0.11144980100916511,-0.06631881107154494,-0.11261594149520499,The city needs clear authority over the process so it can control resources and enforce the final decision.
security,SECURITY,support,"Security: personal:0.770, Security: societal:0.644, Conformity: rules:0.122","Security: personal:0.761, Security: societal:0.636, Conformity: rules:0.121","Security: personal:0.009, Security: societal:0.008, Conformity: rules:0.001","Security: personal:0.752, Security: societal:0.629, Conformity: rules:0.119","Universalism: nature:-0.000, Humility:-0.000, Power: resources:-0.000",-0.24910690587410828,0.008625246264872025,-0.25204388042830167,0.008727813548454533,"Before expanding the service, we need strict safeguards so families know their data and safety are protected."
conformity,CONFORMITY,support,"Conformity: rules:0.976, Conformity: interpersonal:0.047, Universalism: concern:0.010","Conformity: rules:0.829, Conformity: interpersonal:0.036, Universalism: concern:0.008","Conformity: rules:0.147, Conformity: interpersonal:0.011, Universalism: concern:0.002","Conformity: rules:0.681, Conformity: interpersonal:0.026, Universalism: concern:0.006","Hedonism:-0.000, Power: resources:-0.000, Humility:-0.000",-0.11606820013171007,0.002015775715068533,-0.142052736937157,0.002702284841561313,"Participants should follow the agreed rules even when they disagree, otherwise the process will lose legitimacy."
tradition,TRADITION,support,"Tradition:0.963, Conformity: rules:0.190, Achievement:0.020","Tradition:0.953, Conformity: rules:0.187, Achievement:0.020","Tradition:0.010, Conformity: rules:0.003, Achievement:0.000","Tradition:0.944, Conformity: rules:0.184, Achievement:0.020","Security: personal:-0.001, Self-direction: thought:-0.002, Benevolence: dependability:-0.003",-0.18544860602858523,-0.005359871716448054,-0.18754317700757578,-0.005427465559097551,The redevelopment should preserve the old market rituals and respect the practices that elders kept alive.
anti_security,SECURITY,oppose,"Security: societal:0.675, Self-direction: action:0.132, Security: personal:0.029","Security: societal:0.235, Self-direction: action:0.108, Security: personal:0.008","Security: societal:0.440, Self-direction: action:0.024, Security: personal:0.021","Self-direction: action:0.084, Self-direction: thought:0.004, Power: dominance:0.003","Security: societal:0.204, Security: personal:0.013, Conformity: interpersonal:0.004",0.05128219814293622,-0.00017138761319994016,-0.023126823951817605,0.00010075871258749796,We should ignore privacy and safety concerns if removing safeguards lets us launch faster.
anti_benevolence,BENEVOLENCE,oppose,"Self-direction: action:0.858, Benevolence: caring:0.035, Benevolence: dependability:0.021","Self-direction: action:0.792, Benevolence: caring:0.032, Benevolence: dependability:0.019","Self-direction: action:0.066, Benevolence: caring:0.004, Benevolence: dependability:0.003","Self-direction: action:0.726, Benevolence: caring:0.028, Benevolence: dependability:0.016","Face:-0.000, Universalism: nature:-0.000, Tradition:-0.000",0.1209190206675253,0.010127090806197045,0.1319139429110579,0.011555365948440238,The vulnerable families should handle the disruption themselves; helping them would only slow the project.
anti_tradition,TRADITION,oppose,"Tradition:0.941, Conformity: rules:0.042, Universalism: tolerance:0.006","Tradition:0.881, Conformity: rules:0.040, Universalism: tolerance:0.006","Tradition:0.060, Conformity: rules:0.002, Universalism: tolerance:0.000","Tradition:0.822, Conformity: rules:0.038, Universalism: tolerance:0.005","Security: personal:-0.000, Face:-0.001, Hedonism:-0.001",-0.142297037947911,0.0009425510381762564,-0.1525184191743065,0.0010144581761222591,Old rituals and inherited customs should not influence this decision at all.
anti_conformity,CONFORMITY,oppose,"Conformity: rules:0.990, Conformity: interpersonal:0.011, Universalism: concern:0.008","Conformity: rules:0.931, Conformity: interpersonal:0.010, Universalism: concern:0.007","Conformity: rules:0.059, Conformity: interpersonal:0.001, Universalism: concern:0.001","Conformity: rules:0.872, Conformity: interpersonal:0.008, Universalism: concern:0.007","Humility:-0.000, Face:-0.000, Hedonism:-0.000",-0.14461687823252883,0.0015281202380541148,-0.15458569793820354,0.0017033211978300991,People should break the agreed rules whenever the rules make negotiation inconvenient.
neutral_schedule,NONE,neutral,"Self-direction: action:0.001, Conformity: rules:0.001, Stimulation:0.000","Self-direction: action:0.001, Conformity: rules:0.001, Stimulation:0.000","Conformity: rules:0.000, Self-direction: action:0.000, Stimulation:0.000","Self-direction: action:0.001, Conformity: rules:0.001, Stimulation:0.000","Universalism: nature:-0.000, Humility:-0.000, Hedonism:-0.000",8.443930385318904e-05,1.5774040423546395e-05,8.3841461095887e-05,1.6039599801617424e-05,The meeting starts at three o'clock and the agenda has four items.
